order_id,order_month,order_ym,buyer_key,customer_state,category_en,gmv,review_score
2e7a8482f6fb09756ca50c10d7bfc047,2016-09-01,2016-09,741979f2cb116dbe404ed15cdd1c5a2750757f443b9f2f4a3f15ab1d0dee6ba5,RR,furniture_decor,136.23,1.0
bfbd0f9bdef84302105ad712db648a6c,2016-09-01,2016-09,a3732c0c10d61482cc8ffa8b7545f7d47b4e0f929cdd0c811c40a637cc1dd398,SP,health_beauty,143.46,1.0
02190241f7190a1f3c7e0df95a749c6a,2016-10-01,2016-10,009af6548125cfc67f15c01453a01125c420e01deb9215b904f1fe52fe9c4bfe,RJ,toys,521.46,
021d08e4057e5b6414c8d2f69f4f72a0,2016-10-01,2016-10,2918b937ff36c7714347604a9b754f6fb2500ad9a5c1cdfe5fdbc112e0b967da,MG,auto,66.03,1.0
02a0eb7c22b0616c767a45954a2a28f6,2016-10-01,2016-10,27c0339ecf40ebd0741ffb6d4a376d2bf2da6f23179f88a92d586f334a7379c5,PE,books_general_interest,144.54,5.0
03128233e78ed8ade6738f2043f4cf8d,2016-10-01,2016-10,35caadcfddd3adac41dd4f5d307783cded0a9ef587d42730f7b7c9ea4d6fd26b,RJ,health_beauty,72.51,4.0
03ffce741877a000ca0fb3520673d4c4,2016-10-01,2016-10,6609998877ac45fd0f1146ce0fe6ee97a401b01283c012eedc530311db435d25,PE,sports_leisure,818.12,5.0
04bc36cd51141e11c2cbbd188b6e47ca,2016-10-01,2016-10,22cc0527dc35d31998760866fb0d715ef42791e6346b1a3a544ca535dbcbc233,SP,computers_accessories,58.41,5.0
05bfcf9e287cad216cadb8a850f8db5c,2016-10-01,2016-10,70813bb35eebfb843aba064f48ac21ca777b167ecfe3a46b269046b5274d577b,SP,perfumery,534.98,5.0
05c7d88e9c05e1fa1428f1ff2dcc29da,2016-10-01,2016-10,5ebb90be8639456dc15ffde1d0b27500826a2c827c9b92a21b2ef7079e1c10d2,SP,toys,144.94,5.0
063b573b88fc80e516aba87df524f809,2016-10-01,2016-10,614f57289e4898dc6d7fafd87e25ea8d694e2f4d223d7e24384a5f9a01418963,SP,health_beauty,87.53,1.0
06d7e8a85f5cfef576c5303ed7d7f2e5,2016-10-01,2016-10,20d4935156623d3635005c675d9d7e948e02e91bef643798c7dba084d7fb01a3,MG,cool_stuff,63.72,4.0
0891b66cbcc48cf64f31ae9cae3d08d8,2016-10-01,2016-10,1e80c4823f4689e4ea3e5b914a6ec8c1df6102eb39139289a95717c89111f683,PR,furniture_decor,317.9,4.0
08edff712f0cd04883215bdb5b0d7c7f,2016-10-01,2016-10,dc0c3cdd5f388591973821c0973500451ad491733fca964c07283bcdd6900c6e,SP,garden_tools,82.08,5.0
09dd83f72b2516179cd46b81121fad23,2016-10-01,2016-10,69937679e82adee34eb8012cdaad8facf4a0cded25b74e6bdddaa560ca678572,SE,consoles_games,79.99,4.0
0a0837a5eee9e7a9ce2b1fa831944d27,2016-10-01,2016-10,da1da41bfcd71829a76a5f29f6992406eafe50e3a11576b7e1a2356d882a9cbb,SP,(missing),65.5,5.0
0a5d7e24850c68bf00d39bd62a9a45ee,2016-10-01,2016-10,18836a4b481326da7aeb963a3dd360b88037db45b871715c8a9b54794b7b9d77,RJ,sports_leisure,80.25,5.0
0c22166d9f7e5761e397affa5af438c7,2016-10-01,2016-10,20288d1c8966131a69e1466702acdacfaee4b08be64b56aeb93ed9b8040d65de,CE,health_beauty,116.89,5.0
0c7fc95baa5e16992ed412ccea7f28b3,2016-10-01,2016-10,e0f4f49db2bb56d454852873370395f258321f9c53b4438d11c9c59a18d5bc7c,RS,industry_commerce_and_business,113.17,4.0
0ca768c507d1fc3c61bd950bb1c5231a,2016-10-01,2016-10,7fed4f9273981c3bdfadbae7aa8fbb298d0be9e0ae30af56205b884b2ece277c,PR,market_place,112.52,5.0
0d9664d8da1dc4337269071b39e19423,2016-10-01,2016-10,02e98a4e269eaf23ef5d648d23e0e083de83c9727c061a0d0ce9b4ca29d02ecc,SP,perfumery,267.49,5.0
